stop_lat,stop_id,stop_name,stop_lon
55.730805,36432,2-я Тихорецкая,49.121389
55.734764,36433,Тихорецкая,49.097943
55.731354,36434,Нефтебаза,49.093085
55.727,36435,Новое Победилово,49.087401
55.785899,35714,Комбинат Здоровье,49.116893
55.788745,35715,Педагогический университет,49.112554
55.792602,35716,Чернышевского (ул. Право-Булачная),49.107548
55.823241,35858,Гуманитарный институт,49.095476
55.826943,35721,Магазин Океан,49.102071
55.826919,35722,Парк Победы,49.108886
55.82832,36178,Мусина (проспект Ямашева),49.12099
55.827231,35912,Адоратского,49.146208
55.827246,35383,Фатыха Амирхана,49.132259
55.827269,35384,Мусина (проспект Ямашева),49.11936
55.827269,35385,Парк Победы,49.109792
55.827265,35913,Магазин Океан,49.100028
55.825884,35914,Декабристов,49.088442
55.834385,35419,2-й переезд (ул. Сибирский тракт),49.19374
55.839091,35420,Карьер,49.19829
55.842558,35421,Ноксинская,49.202081
55.846553,35733,Нагорный,49.206537
55.859774,35734,Строительное училище,49.214688
55.863119,35735,Интернат (Дербышки),49.220552
55.864977,35736,Магазин Комсомольский,49.225217
55.868047,36117,Раздольная,49.23772
55.870159,36118,Киндери,49.243488
55.873141,36119,Школа №166,49.248085
55.874931,36120,АЗС (ул. Азина),49.250831
55.875116,36311,Автодром Высокая Гора,49.275847
55.864788,36312,Киндерское кладбище,49.303013
55.844441,36313,Заводская (Чебакса),49.331747
55.845009,36314,ж/м Чебакса,49.320624
55.844456,36315,Заводская (Чебакса),49.331968
55.864641,36316,Киндерское кладбище,49.303557
55.875521,36317,Автодром Высокая Гора,49.274695
55.874708,36134,АЗС (ул. Азина),49.250278
55.872718,36135,Школа №166,49.247226
55.870309,36136,Киндери,49.24351
55.868198,36137,Раздольная,49.237918
55.867094,36318,Советская,49.232621
55.864569,36319,Магазин Комсомольский,49.223795
55.862814,35739,Интернат (Дербышки),49.219704
55.859626,35740,Строительное училище,49.21426
55.845223,35439,Нагорный,49.205607
55.841633,35440,Ноксинская,49.200737
55.83904,35441,Карьер,49.197965
55.834703,35442,2-й переезд (ул. Сибирский тракт),49.193578
55.821094,35558,Халитова,49.182998
55.748257,35338,9-й микрорайон,49.237855
55.744997,35339,Сафиуллина (ул. Юлиуса Фучика),49.23247
55.741741,35340,Габишева,49.226513
55.741763,35341,8-й микрорайон,49.222938
55.744628,35342,Фучика,49.218013
55.747887,35343,проспект Победы (трамвай),49.212411
55.753354,35344,Гарифьянова,49.203208
55.756343,35345,Братьев Касимовых,49.198064
55.760034,35346,Метро Горки,49.191713
55.763988,35347,Рихарда Зорге,49.184864
55.765782,35348,Даурская (ул. Рихарда Зорге),49.181668
55.770081,35349,Сады,49.176737
55.779767,35350,Гвардейская,49.172046
55.782606,35351,Кафе Сирень,49.170656
55.78682,35352,Аделя Кутуя,49.171017
55.793157,35353,Патриса Лумумбы,49.17156
55.79561,35354,Кооперативный институт,49.173973
55.800687,35355,Советская пл.,49.181836
55.805423,35356,Пионерская,49.184468
55.809298,35357,Попова,49.182544
55.811786,35358,Национальный архив,49.181387
55.819953,35359,Халитова,49.183527
55.820192,35317,Халитова,49.183265
55.812227,35318,Национальный архив,49.181116
55.809605,35319,Попова,49.182335
55.805856,35320,Пионерская,49.184179
55.800988,35321,Советская пл.,49.182358
55.79601,35322,Кооперативный институт,49.174468
55.793108,35323,Патриса Лумумбы,49.171493
55.788008,35324,Аделя Кутуя,49.171056
55.782873,35325,Кафе Сирень,49.170616
55.779587,35326,Гвардейская,49.172112
55.770589,35327,Сады,49.176212
55.766319,35328,Даурская (ул. Рихарда Зорге),49.180711
55.764051,35329,Рихарда Зорге,49.184664
55.75997,35330,Метро Горки,49.191735
55.756425,35331,Братьев Касимовых,49.197836
55.753637,35332,Гарифьянова,49.202631
55.747887,35333,проспект Победы (трамвай),49.212321
55.744534,35334,Фучика,49.218087
55.741859,35335,8-й микрорайон,49.222684
55.741561,35336,Габишева,49.226277
55.744937,35337,Сафиуллина (ул. Юлиуса Фучика),49.232452
55.759773,35398,Метро Горки,49.188839
55.757085,35399,Карбышева (ул. Танковая),49.17823
55.754631,35400,Комарова,49.170771
55.752795,35401,Латышских Стрелков,49.166267
55.753549,35402,Танковая,49.161433
55.761258,35403,Казанская ярмарка,49.152326
55.773595,35407,Павлюхина,49.140136
55.776105,35408,Метро Суконная Слобода,49.143785
55.784253,35409,Калинина,49.150128
55.791994,35410,ЦПКиО им. Горького,49.153205
55.846404,35422,Нагорный,49.206811
55.847488,35423,Круговая,49.216547
55.848075,35424,Школа №124,49.219649
55.848939,35425,Магазин (Нагорный),49.224306
55.849074,35426,Таёжная,49.227452
55.844223,35427,Жилой массив Нагорный,49.230284
55.840066,35428,Машиностроителей-2,49.232868
55.840699,35429,Машиностроителей,49.236091
55.841811,35430,ж/м Новая Сосновка,49.240315
55.840805,35431,Машиностроителей,49.236436
55.840088,35432,Машиностроителей-2,49.232789
55.844293,35433,Жилой массив Нагорный,49.230309
55.849319,35434,Таёжная,49.227388
55.850568,35435,Жилой массив Нагорный-2,49.232947
55.848944,35436,Магазин (Нагорный),49.223979
55.848204,35437,Школа №124,49.220004
55.847544,35438,Круговая,49.216492
55.788947,35453,Шмидта,49.151803
55.784383,35454,Калинина,49.149795
55.776139,35455,Метро Суконная Слобода,49.14332
55.760543,35459,Казанская ярмарка,49.152707
55.753396,35460,Танковая,49.161357
55.752184,35461,Латышских Стрелков,49.165358
55.753897,35462,Комарова,49.170251
55.756914,35463,Карбышева (ул. Танковая),49.178914
55.899989,36409,Новониколаевский,48.963038
55.866841,36474,пос. Новая Тура,48.856516
55.855707,36475,Залесный-2,48.867342
55.853627,36476,АЗС (ул. Залесная),48.876654
55.850057,36053,Залесное шоссе,48.892783
55.849422,36054,Залесный,48.896866
55.848144,36055,КЭМП,48.906734
55.847086,36077,Ремплер (ул. Залесная),48.916671
55.848394,36078,КЭМП,48.906577
55.84979,36079,Залесный,48.895804
55.850622,36469,Залесное шоссе,48.891167
55.853913,36470,АЗС (ул. Залесная),48.876453
55.8556,36471,Залесный-2,48.868906
55.867034,36472,пос. Новая Тура,48.856828
55.883843,36473,Осиново-2,48.86149
55.899685,36411,Новониколаевский,48.96284
55.836063,36004,Гаврилова (ул. Чуйкова),49.157245
55.836064,36005,Лаврентьева (ул. Маршала Чуйкова),49.152096
55.860021,35708,Максимова,49.098845
55.861468,35709,Лукина,49.089927
55.871116,36008,Пржевальского,49.088957
55.874342,36009,Ударная,49.08837
55.875298,36010,Баранова,49.092027
55.875588,36011,Сахалинская,49.096482
55.879034,36012,Камчатская,49.101006
55.881137,36013,Сады-1,49.104999
55.886269,36014,Сады-2,49.11445
55.891949,36015,Садовое общество КАПО-11,49.124702
55.896276,36016,Сельмаг (Кадышево),49.127352
55.900962,36017,Правление,49.129257
55.904116,36018,Кадышево,49.133604
55.914383,36019,Поворот на пос. Щербаковка,49.140758
55.917395,36020,Кафе Ак Барс,49.150759
55.917641,35988,Кафе Ак Барс,49.150059
55.920794,35989,Садовые общества,49.144843
55.914566,35990,Поворот на пос. Щербаковка,49.140708
55.90378,35991,Кадышево,49.132925
55.900999,35992,Правление,49.129165
55.896186,35993,Сельмаг (Кадышево),49.127205
55.891838,35994,Садовое общество КАПО-11,49.124554
55.886076,35995,Сады-2,49.113939
55.880816,35996,Сады-1,49.104361
55.878917,35997,Камчатская,49.099938
55.875322,35998,Баранова,49.091838
55.874256,35999,Ударная,49.088274
55.870671,36000,Пржевальского,49.088759
55.861916,35624,Ленинградская,49.086761
55.861131,35625,Лукина,49.091603
55.859724,35626,Максимова,49.100271
55.835885,36003,Роддом №1,49.145109
55.835884,35565,Лаврентьева (ул. Маршала Чуйкова),49.151789
55.835883,35566,Гаврилова (ул. Чуйкова),49.158433
55.901466,108212,АЗС (Щербаково),49.196577
55.909502,108213,АЗС Щербаковка,49.169905
55.913185,108214,Голубые Озёра,49.162821
55.915282,108215,Садовое общество Кактус,49.158553
55.915184,108216,Садовое общество Кактус,49.158341
